 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.16451911865E-002        0.66924084088E+005        0.36748014999E+001        0.66920409286E+005        0.66924085561E+005        0.14734819586E-002
        0.16623732234E-002        0.65884960082E+005        0.36556522480E+001        0.65881304430E+005        0.65884961556E+005        0.14734831284E-002
        0.16796445176E-002        0.64867162371E+005        0.36367001536E+001        0.64863525671E+005        0.64867163844E+005        0.14734843029E-002
        0.16970050691E-002        0.63870146950E+005        0.36179421771E+001        0.63866529008E+005        0.63870148423E+005        0.14734854820E-002
        0.17144548780E-002        0.62893386382E+005        0.35993753409E+001        0.62889787007E+005        0.62893387855E+005        0.14734866657E-002
        0.17319939442E-002        0.61936369210E+005        0.35809967282E+001        0.61932788213E+005        0.61936370684E+005        0.14734878541E-002
        0.17496222677E-002        0.60998599395E+005        0.35628034811E+001        0.60995036592E+005        0.60998600869E+005        0.14734890470E-002
        0.17673398486E-002        0.60079595777E+005        0.35447927996E+001        0.60076050984E+005        0.60079597250E+005        0.14734902444E-002
        0.17851466868E-002        0.59178891555E+005        0.35269619396E+001        0.59175364593E+005        0.59178893029E+005        0.14734914464E-002
        0.18030427823E-002        0.58296033794E+005        0.35093082117E+001        0.58292524486E+005        0.58296035267E+005        0.14734926528E-002
        0.18210281352E-002        0.57430582941E+005        0.34918289803E+001        0.57427091112E+005        0.57430584414E+005        0.14734938638E-002
        0.18391027454E-002        0.56582112370E+005        0.34745216615E+001        0.56578637848E+005        0.56582113843E+005        0.14734950792E-002
        0.18572666129E-002        0.55750207940E+005        0.34573837223E+001        0.55746750556E+005        0.55750209413E+005        0.14734962991E-002
        0.18755197378E-002        0.54934467570E+005        0.34404126791E+001        0.54931027158E+005        0.54934469044E+005        0.14734975234E-002
        0.18938621200E-002        0.54134500833E+005        0.34236060971E+001        0.54131077226E+005        0.54134502306E+005        0.14734987521E-002
        0.19122937595E-002        0.53349928559E+005        0.34069615883E+001        0.53346521598E+005        0.53349930033E+005        0.14734999851E-002
        0.19308146564E-002        0.52580382466E+005        0.33904768107E+001        0.52576991989E+005        0.52580383940E+005        0.14735012226E-002
        0.19494248106E-002        0.51825504790E+005        0.33741494675E+001        0.51822130640E+005        0.51825506263E+005        0.14735024643E-002
        0.19681242222E-002        0.51084947939E+005        0.33579773055E+001        0.51081589961E+005        0.51084949412E+005        0.14735037104E-002
        0.19869128910E-002        0.50358374157E+005        0.33419581146E+001        0.50355032199E+005        0.50358375631E+005        0.14735049608E-002
        0.20057908173E-002        0.49645455203E+005        0.33260897261E+001        0.49642129113E+005        0.49645456676E+005        0.14735062154E-002
        0.20247580008E-002        0.48945872034E+005        0.33103700126E+001        0.48942561664E+005        0.48945873507E+005        0.14735074743E-002
        0.20438144417E-002        0.48259314512E+005        0.32947968862E+001        0.48256019715E+005        0.48259315986E+005        0.14735087374E-002
        0.20629601399E-002        0.47585481112E+005        0.32793682981E+001        0.47582201744E+005        0.47585482585E+005        0.14735100047E-002
        0.20821950955E-002        0.46924078644E+005        0.32640822375E+001        0.46920814562E+005        0.46924080118E+005        0.14735112762E-002
        0.21015193083E-002        0.46274821988E+005        0.32489367307E+001        0.46271573051E+005        0.46274823461E+005        0.14735125518E-002
        0.21209327786E-002        0.45637433832E+005        0.32339298404E+001        0.45634199903E+005        0.45637435306E+005        0.14735138316E-002
        0.21404355061E-002        0.45011644429E+005        0.32190596646E+001        0.45008425370E+005        0.45011645903E+005        0.14735151155E-002
