 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.10858261993E+001        0.11221645149E+002       -0.15923365911E+002
        0.10894821798E+001        0.11163653776E+002       -0.15800889669E+002
        0.10931381602E+001        0.11106108165E+002       -0.15679524616E+002
        0.10967941407E+001        0.11049004228E+002       -0.15559263738E+002
        0.11004501212E+001        0.10992337978E+002       -0.15440100069E+002
        0.11041061016E+001        0.10936105378E+002       -0.15322026682E+002
        0.11077620821E+001        0.10880302494E+002       -0.15205036687E+002
        0.11114180626E+001        0.10824925339E+002       -0.15089123226E+002
        0.11150740430E+001        0.10769970027E+002       -0.14974279471E+002
        0.11187300235E+001        0.10715432622E+002       -0.14860498615E+002
        0.11223860040E+001        0.10661309289E+002       -0.14747773873E+002
        0.11260419845E+001        0.10607596140E+002       -0.14636098476E+002
        0.11296979649E+001        0.10554289389E+002       -0.14525465668E+002
        0.11333539454E+001        0.10501385199E+002       -0.14415868706E+002
        0.11370099259E+001        0.10448879833E+002       -0.14307300850E+002
        0.11406659063E+001        0.10396769504E+002       -0.14199755371E+002
        0.11443218868E+001        0.10345050522E+002       -0.14093225537E+002
        0.11479778673E+001        0.10293719151E+002       -0.13987704619E+002
        0.11516338477E+001        0.10242771750E+002       -0.13883185886E+002
        0.11552898282E+001        0.10192204631E+002       -0.13779662602E+002
        0.11589458087E+001        0.10142014203E+002       -0.13677128029E+002
        0.11626017891E+001        0.10092196828E+002       -0.13575575418E+002
        0.11662577696E+001        0.10042748964E+002       -0.13474998013E+002
        0.11699137501E+001        0.99936670221E+001       -0.13375389050E+002
        0.11735697306E+001        0.99449475090E+001       -0.13276741752E+002
        0.11772257110E+001        0.98965868869E+001       -0.13179049332E+002
        0.11808816915E+001        0.98485817112E+001       -0.13082304990E+002
        0.11845376720E+001        0.98009284942E+001       -0.12986501913E+002
        0.11881936524E+001        0.97536238407E+001       -0.12891633272E+002
        0.11918496329E+001        0.97066643134E+001       -0.12797692228E+002
        0.11955056134E+001        0.96600465666E+001       -0.12704671923E+002
        0.11991615938E+001        0.96137672137E+001       -0.12612565487E+002
        0.12028175743E+001        0.95678229588E+001       -0.12521366034E+002
        0.12064735548E+001        0.95222104660E+001       -0.12431066664E+002
        0.12101295352E+001        0.94769264895E+001       -0.12341660459E+002
        0.12137855157E+001        0.94319677442E+001       -0.12253140491E+002
        0.12174414962E+001        0.93873310348E+001       -0.12165499814E+002
        0.12210974766E+001        0.93430131274E+001       -0.12078731467E+002
        0.12247534571E+001        0.92990108771E+001       -0.11992828478E+002
        0.12284094376E+001        0.92553211013E+001       -0.11907783860E+002
        0.12320654181E+001        0.92119407059E+001       -0.11823590613E+002
        0.12357213985E+001        0.91688665598E+001       -0.11740241725E+002
        0.12393773790E+001        0.91260956199E+001       -0.11657730172E+002
        0.12430333595E+001        0.90836248069E+001       -0.11576048919E+002
        0.12466893399E+001        0.90414511285E+001       -0.11495190922E+002
        0.12503453204E+001        0.89995715574E+001       -0.11415149126E+002
        0.12540013009E+001        0.89579831526E+001       -0.11335916468E+002
        0.12576572813E+001        0.89166829388E+001       -0.11257485878E+002
        0.12613132618E+001        0.88756680263E+001       -0.11179850278E+002
        0.12649692423E+001        0.88349354918E+001       -0.11103002585E+002
        0.12686252227E+001        0.87944824971E+001       -0.11026935712E+002
        0.12722812032E+001        0.87543061712E+001       -0.10951642568E+002
        0.12759371837E+001        0.87144037275E+001       -0.10877116058E+002
        0.12795931642E+001        0.86747723468E+001       -0.10803349087E+002
        0.12832491446E+001        0.86354092943E+001       -0.10730334559E+002
        0.12869051251E+001        0.85963118031E+001       -0.10658065380E+002
        0.12905611056E+001        0.85574771897E+001       -0.10586534455E+002
        0.12942170860E+001        0.85189027397E+001       -0.10515734696E+002
        0.12978730665E+001        0.84805858209E+001       -0.10445659016E+002
        0.13015290470E+001        0.84425237710E+001       -0.10376300336E+002
        0.13051850274E+001        0.84047140095E+001       -0.10307651581E+002
        0.13088410079E+001        0.83671539259E+001       -0.10239705686E+002
        0.13124969884E+001        0.83298409911E+001       -0.10172455596E+002
        0.13161529688E+001        0.82927726467E+001       -0.10105894263E+002
        0.13198089493E+001        0.82559464145E+001       -0.10040014654E+002
        0.13234649298E+001        0.82193597880E+001       -0.99748097464E+001
        0.13271209102E+001        0.81830103401E+001       -0.99102725338E+001
        0.13307768907E+001        0.81468956157E+001       -0.98463960237E+001
        0.13344328712E+001        0.81110132387E+001       -0.97831732406E+001
        0.13380888517E+001        0.80753608051E+001       -0.97205972268E+001
        0.13417448321E+001        0.80399359896E+001       -0.96586610434E+001
        0.13454008126E+001        0.80047364391E+001       -0.95973577717E+001
        0.13490567931E+001        0.79697598785E+001       -0.95366805145E+001
        0.13527127735E+001        0.79350040056E+001       -0.94766223970E+001
        0.13563687540E+001        0.79004665952E+001       -0.94171765684E+001
        0.13600247345E+001        0.78661453956E+001       -0.93583362024E+001
        0.13636807149E+001        0.78320382311E+001       -0.93000944989E+001
        0.13673366954E+001        0.77981429000E+001       -0.92424446850E+001
        0.13709926759E+001        0.77644572759E+001       -0.91853800160E+001
        0.13746486563E+001        0.77309792066E+001       -0.91288937766E+001
        0.13783046368E+001        0.76977066147E+001       -0.90729792819E+001
        0.13819606173E+001        0.76646373971E+001       -0.90176298785E+001
        0.13856165978E+001        0.76317695246E+001       -0.89628389457E+001
        0.13892725782E+001        0.75991009430E+001       -0.89085998961E+001
        0.13929285587E+001        0.75666296709E+001       -0.88549061770E+001
        0.13965845392E+001        0.75343537023E+001       -0.88017512712E+001
        0.14002405196E+001        0.75022711033E+001       -0.87491286981E+001
        0.14038965001E+001        0.74703799153E+001       -0.86970320144E+001
        0.14075524806E+001        0.74386782513E+001       -0.86454548153E+001
        0.14112084610E+001        0.74071642000E+001       -0.85943907352E+001
        0.14148644415E+001        0.73758359207E+001       -0.85438334485E+001
        0.14185204220E+001        0.73446915484E+001       -0.84937766709E+001
        0.14221764024E+001        0.73137292881E+001       -0.84442141594E+001
        0.14258323829E+001        0.72829473208E+001       -0.83951397138E+001
        0.14294883634E+001        0.72523438967E+001       -0.83465471775E+001
        0.14331443439E+001        0.72219172418E+001       -0.82984304376E+001
        0.14368003243E+001        0.71916656509E+001       -0.82507834265E+001
        0.14404563048E+001        0.71615873946E+001       -0.82036001216E+001
        0.14441122853E+001        0.71316808115E+001       -0.81568745471E+001
        0.14477682657E+001        0.71019442162E+001       -0.81106007736E+001
        0.14514242462E+001        0.70723759903E+001       -0.80647729192E+001
        0.14550802267E+001        0.70429744917E+001       -0.80193851504E+001
        0.14587362071E+001        0.70137381444E+001       -0.79744316822E+001
        0.14623921876E+001        0.69846653488E+001       -0.79299067786E+001
        0.14660481681E+001        0.69557545707E+001       -0.78858047537E+001
        0.14697041485E+001        0.69270042524E+001       -0.78421199718E+001
        0.14733601290E+001        0.68984129004E+001       -0.77988468478E+001
        0.14770161095E+001        0.68699789981E+001       -0.77559798477E+001
        0.14806720899E+001        0.68417010926E+001       -0.77135134892E+001
        0.14843280704E+001        0.68135777073E+001       -0.76714423423E+001
        0.14879840509E+001        0.67856074287E+001       -0.76297610287E+001
        0.14916400314E+001        0.67577888200E+001       -0.75884642234E+001
        0.14952960118E+001        0.67301205064E+001       -0.75475466546E+001
